,Unnamed: 0,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE,CLASS NAME
96,96,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,66.0,3.0,48000,Ramphastos tucanus,0.906017541885376,White-throated Toucan
97,97,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,69.0,3.0,48000,Ramphastos tucanus,0.9950276017189026,White-throated Toucan
98,98,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,72.0,3.0,48000,Ramphastos tucanus,0.9880808591842652,White-throated Toucan
99,99,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,75.0,3.0,48000,Ramphastos tucanus,0.9925090670585632,White-throated Toucan
100,100,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,78.0,3.0,48000,Ramphastos tucanus,0.9929838180541992,White-throated Toucan
101,101,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,81.0,3.0,48000,Ramphastos tucanus,0.9950281977653505,White-throated Toucan
102,102,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,84.0,3.0,48000,Ramphastos tucanus,0.995612382888794,White-throated Toucan
103,103,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,87.0,3.0,48000,Ramphastos tucanus,0.99709951877594,White-throated Toucan
104,104,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,90.0,3.0,48000,Ramphastos tucanus,0.9944721460342408,White-throated Toucan
105,105,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,93.0,3.0,48000,Ramphastos tucanus,0.9725483655929564,White-throated Toucan
106,106,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,96.0,3.0,48000,Ramphastos tucanus,0.9903590083122252,White-throated Toucan
