FILENAME;CLIP LENGTH;Start (s);End (s);Scientific name;Common name;Confidence
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;6.0;9.0;Hemitriccus zosterops;White-eyed Tody-Tyrant;0.10021876
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;9.0;12.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9627479
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;9.0;12.0;Hemitriccus zosterops;White-eyed Tody-Tyrant;0.4056986
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;15.0;18.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9357329
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;15.0;18.0;Hemitriccus zosterops;White-eyed Tody-Tyrant;0.19951326
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;18.0;21.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.83707625
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;18.0;21.0;Hemitriccus zosterops;White-eyed Tody-Tyrant;0.6131038
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;21.0;24.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.8390566
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;24.0;27.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.8550013
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;24.0;27.0;Pteroglossus aracari;Black-necked Aracari;0.19715746
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;27.0;30.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.7854696
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;30.0;33.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.98919606
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;30.0;33.0;Hemitriccus zosterops;White-eyed Tody-Tyrant;0.2245553
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;33.0;36.0;Cygnus buccinator;Trumpeter Swan;0.11673735
