ID,Order,Family,Genus,Epithet,Species,Common,CommonES,Status,XCRecordings,VoucherMUSM-Orn,Priority
565,Passeriformes,Furnariidae,Philydor,erythrocercum,Philydor erythrocercum,Rufous-rumped Foliage-gleaner,Ticotico Lomirrufo,,52,1,
566,Passeriformes,Furnariidae,Philydor,pyrrhodes,Philydor pyrrhodes,Cinnamon-rumped Foliage-gleaner,Ticotico Lomicanelo,,54,BIOPE,
567,Passeriformes,Furnariidae,Anabacerthia,striaticollis,Anabacerthia striaticollis,Montane Foliage-gleaner,Ticotico Montano,,83,,
568,Passeriformes,Furnariidae,Anabacerthia,ruficaudata,Anabacerthia ruficaudata,Rufous-tailed Foliage-gleaner,Ticotico Colirrufo,,20,1,
569,Passeriformes,Furnariidae,Syndactyla,rufosuperciliata,Syndactyla rufosuperciliata,Buff-browed Foliage-gleaner,Ticotico Cejudo,,227,1,
570,Passeriformes,Furnariidae,Syndactyla,ucayalae,Syndactyla ucayalae,Peruvian Recurvebill,Ticotico Picolezna Peruano,,53,BIOPE,
571,Passeriformes,Furnariidae,Syndactyla,striata,Syndactyla striata,Bolivian Recurvebill,Ticotico Picolezna Boliviano,,7,,
572,Passeriformes,Furnariidae,Ancistrops,strigilatus,Ancistrops strigilatus,Chestnut-winged Hookbill,Ticotico Picogancho,,30,ARA,
573,Passeriformes,Furnariidae,Dendroma,rufa,Dendroma rufa,NA,Ticotico Ocráceo Grande,,0,1,
574,Passeriformes,Furnariidae,Dendroma,erythroptera,Dendroma erythroptera,NA,Ticotico Alicastaño,,0,,
575,Passeriformes,Furnariidae,Clibanornis,rubiginosus,Clibanornis rubiginosus,Ruddy Foliage-gleaner,Ticotico Castaño,,129,1,
576,Passeriformes,Furnariidae,Thripadectes,scrutator,Thripadectes scrutator,Peruvian Treehunter,Trepamusgos Peruano,,13,,
577,Passeriformes,Furnariidae,Thripadectes,holostictus,Thripadectes holostictus,Striped Treehunter,Trepamusgos Listado,,84,,
578,Passeriformes,Furnariidae,Thripadectes,melanorhynchus,Thripadectes melanorhynchus,Black-billed Treehunter,Trepamusgos Piquinegro,,54,1,
579,Passeriformes,Furnariidae,Automolus,rufipileatus,Automolus rufipileatus,Chestnut-crowned Foliage-gleaner,Ticotico Coronicastaño,,113,BIOPE,
580,Passeriformes,Furnariidae,Automolus,melanopezus,Automolus melanopezus,Brown-rumped Foliage-gleaner,Ticotico Pardo,,35,BIOPE,
581,Passeriformes,Furnariidae,Automolus,ochrolaemus,Automolus ochrolaemus,Buff-throated Foliage-gleaner,Ticotico Gorgiclaro,,266,1,
582,Passeriformes,Furnariidae,Automolus,subulatus,Automolus subulatus,Eastern Woodhaunter,Ticotico Listado,,89,1,
583,Passeriformes,Furnariidae,Automolus,infuscatus,Automolus infuscatus,Olive-backed Foliage-gleaner,Ticotico Oliváceo,,110,BIOPE,
584,Passeriformes,Furnariidae,Premnoplex,brunnescens,Premnoplex brunnescens,Spotted Barbtail,Subepalo Moteado,,95,1,
585,Passeriformes,Furnariidae,Margarornis,squamiger,Margarornis squamiger,Pearled Treerunner,Subepalo Perlado,,47,,
586,Passeriformes,Furnariidae,Asthenes,urubambensis,Asthenes urubambensis,Line-fronted Canastero,Canastero del Urubamba,,14,,
587,Passeriformes,Furnariidae,Asthenes,helleri,Asthenes helleri,Puna Thistletail,Piscuiz de la Puna,,24,,
588,Passeriformes,Furnariidae,Metopothrix,aurantiaca,Metopothrix aurantiaca,Orange-fronted Plushcrown,Coronafelpa,,21,1,
589,Passeriformes,Furnariidae,Thripophaga,fusciceps,Thripophaga fusciceps,Plain Softtail,Colasuave Sencillo,,31,1,
590,Passeriformes,Furnariidae,Cranioleuca,marcapatae,Cranioleuca marcapatae,Marcapata Spinetail,Curutié de Marcapata,Endemico,32,,
591,Passeriformes,Furnariidae,Cranioleuca,curtata,Cranioleuca curtata,Ash-browed Spinetail,Curutié Cejigrís,,62,1,
592,Passeriformes,Furnariidae,Cranioleuca,gutturata,Cranioleuca gutturata,Speckled Spinetail,Curutié Jaspeado,,40,,
593,Passeriformes,Furnariidae,Certhiaxis,cinnamomeus,Certhiaxis cinnamomeus,Yellow-chinned Spinetail,Curutié Colorado,,163,,
594,Passeriformes,Furnariidae,Mazaria,propinqua,Mazaria propinqua,White-bellied Spinetail,Pijuí Ventriblanco,,45,,
595,Passeriformes,Furnariidae,Synallaxis,gujanensis,Synallaxis gujanensis,Plain-crowned Spinetail,Pijuí Coronipardo,,144,1,
596,Passeriformes,Furnariidae,Synallaxis,cabanisi,Synallaxis cabanisi,Cabanis's Spinetail,Pijuí de Cabanis,,30,1,
597,Passeriformes,Furnariidae,Synallaxis,hypospodia,Synallaxis hypospodia,Cinereous-breasted Spinetail,Pijuí Cenizo,,52,1,
598,Passeriformes,Furnariidae,Synallaxis,albigularis,Synallaxis albigularis,Dark-breasted Spinetail,Pijuí Pechioscuro,,80,1,
599,Passeriformes,Furnariidae,Synallaxis,albescens,Synallaxis albescens,Pale-breasted Spinetail,Pijuí Pechiblanco,,237,,
600,Passeriformes,Furnariidae,Synallaxis,rutilans,Synallaxis rutilans,Ruddy Spinetail,Pijuí Rojizo,,95,BIOPE,
601,Passeriformes,Furnariidae,Synallaxis,cherriei,Synallaxis cherriei,Chestnut-throated Spinetail,Pijuí Gorgicastaño,,50,,
602,Passeriformes,Pipridae,Tyranneutes,stolzmanni,Tyranneutes stolzmanni,Dwarf Tyrant-Manakin,Saltarín Enano,,161,BIOPE,
603,Passeriformes,Pipridae,Neopelma,sulphureiventer,Neopelma sulphureiventer,Sulphur-bellied Tyrant-Manakin,Saltarín Ventrisulfúreo,,31,1,
604,Passeriformes,Pipridae,Chloropipo,unicolor,Chloropipo unicolor,Jet Manakin,Saltarín Azabache,,6,,
605,Passeriformes,Pipridae,Chiroxiphia,pareola,Chiroxiphia pareola,Blue-backed Manakin,Saltarín Dorsiazul,,197,,
606,Passeriformes,Pipridae,Chiroxiphia,boliviana,Chiroxiphia boliviana,Yungas Manakin,Saltarín Yunga,,64,,
607,Passeriformes,Pipridae,Xenopipo,atronitens,Xenopipo atronitens,Black Manakin,Saltarín Negro,,24,,
608,Passeriformes,Pipridae,Cryptopipo,holochlora,Cryptopipo holochlora,Green Manakin,Saltarín Verde,,14,1,
609,Passeriformes,Pipridae,Lepidothrix,coronata,Lepidothrix coronata,Blue-crowned Manakin,Saltarín Coroniazul,,140,BIOPE,
610,Passeriformes,Pipridae,Lepidothrix,coeruleocapilla,Lepidothrix coeruleocapilla,Cerulean-capped Manakin,Saltarín Coroniceleste,Endemico,8,1,
611,Passeriformes,Pipridae,Heterocercus,linteatus,Heterocercus linteatus,Flame-crested Manakin,Saltarín Crestirrojo ,,12,,
612,Passeriformes,Pipridae,Manacus,manacus,Manacus manacus,White-bearded Manakin,Saltarín Barbiblanco,,264,,
613,Passeriformes,Pipridae,Pipra,fasciicauda,Pipra fasciicauda,Band-tailed Manakin,Saltarín Naranja,,62,BIOPE,1
614,Passeriformes,Pipridae,Machaeropterus,pyrocephalus,Machaeropterus pyrocephalus,Fiery-capped Manakin,Saltarín Encendido,,44,BIOPE,1
615,Passeriformes,Pipridae,Dixiphia,pipra,Dixiphia pipra,NA,Saltarín Coroniblanco,,0,,
616,Passeriformes,Pipridae,Ceratopipra,rubrocapilla,Ceratopipra rubrocapilla,Red-headed Manakin,Saltarín Cabecirrojo Sureño,,95,,
617,Passeriformes,Pipridae,Ceratopipra,chloromeros,Ceratopipra chloromeros,Round-tailed Manakin,Saltarín Coliancho,,20,BIOPE,1
618,Passeriformes,Cotingidae,Pipreola,intermedia,Pipreola intermedia,Band-tailed Fruiteater,Frutero Colifajado,,12,,
619,Passeriformes,Cotingidae,Pipreola,arcuata,Pipreola arcuata,Barred Fruiteater,Frutero Barrado,,68,,
620,Passeriformes,Cotingidae,Pipreola,pulchra,Pipreola pulchra,Masked Fruiteater,Frutero Enmascarado,Endemico,7,,
621,Passeriformes,Cotingidae,Pipreola,frontalis,Pipreola frontalis,Scarlet-breasted Fruiteater,Frutero Pechirrojo,,21,,
622,Passeriformes,Cotingidae,Ampelioides,tschudii,Ampelioides tschudii,Scaled Fruiteater,Frutero Escamoso,,38,1,
623,Passeriformes,Cotingidae,Ampelion,rubrocristatus,Ampelion rubrocristatus,Red-crested Cotinga,Cotinga Crestirrojo,,26,,
624,Passeriformes,Cotingidae,Rupicola,peruvianus,Rupicola peruvianus,Andean Cock-of-the-rock,Gallito de las Rocas Peruano,,117,1,
625,Passeriformes,Cotingidae,Snowornis,subalaris,Snowornis subalaris,Grey-tailed Piha,Guardabosques Coligrís,,23,1,
626,Passeriformes,Cotingidae,Querula,purpurata,Querula purpurata,Purple-throated Fruitcrow,Cotinga Quérula,,149,1,2
627,Passeriformes,Cotingidae,Cephalopterus,ornatus,Cephalopterus ornatus,Amazonian Umbrellabird,Paragüero Ornado,,9,,
628,Passeriformes,Cotingidae,Cotinga,maynana,Cotinga maynana,Plum-throated Cotinga,Cotinga Mayna,,8,,
629,Passeriformes,Cotingidae,Cotinga,cayana,Cotinga cayana,Spangled Cotinga,Cotinga Celeste,,10,,
630,Passeriformes,Cotingidae,Lipaugus,vociferans,Lipaugus vociferans,Screaming Piha,Guardabosques Gritón,,318,1,2
631,Passeriformes,Cotingidae,Porphyrolaema,porphyrolaema,Porphyrolaema porphyrolaema,Purple-throated Cotinga,Cotinga Gorgimorado,,6,,
632,Passeriformes,Cotingidae,Gymnoderus,foetidus,Gymnoderus foetidus,Bare-necked Fruitcrow,Cuellopelado,,1,,
633,Passeriformes,Cotingidae,Conioptilon,mcilhennyi,Conioptilon mcilhennyi,Black-faced Cotinga,Cotinga Carinegro,,35,1,2
634,Passeriformes,Tityridae,Tityra,inquisitor,Tityra inquisitor,Black-crowned Tityra,Titira Piquinegro,,24,,
635,Passeriformes,Tityridae,Tityra,cayana,Tityra cayana,Black-tailed Tityra,Titira Colinegro,,70,,
636,Passeriformes,Tityridae,Tityra,semifasciata,Tityra semifasciata,Masked Tityra,Titira Enmascarado,,90,,
637,Passeriformes,Tityridae,Schiffornis,major,Schiffornis major,Varzea Schiffornis,Llorón de Varzea,,59,1,
638,Passeriformes,Tityridae,Schiffornis,aenea,Schiffornis aenea,Foothill Schiffornis,Llorón bronceado,,29,,
639,Passeriformes,Tityridae,Schiffornis,turdina,Schiffornis turdina,Brown-winged Schiffornis,Llorón Turdino,,108,1,1
640,Passeriformes,Tityridae,Laniocera,hypopyrra,Laniocera hypopyrra,Cinereous Mourner,Plañidera Cenicienta,,98,1,1
641,Passeriformes,Tityridae,Iodopleura,isabellae,Iodopleura isabellae,White-browed Purpletuft,Cotinguita Cejiblanco,,28,,
642,Passeriformes,Tityridae,Laniisoma,elegans,Laniisoma elegans,Brazilian Laniisoma,Cotinga Elegante,,30,,
643,Passeriformes,Tityridae,Xenopsaris,albinucha,Xenopsaris albinucha,White-naped Xenopsaris,Anambé Chico ,,35,,
644,Passeriformes,Tityridae,Pachyramphus,viridis,Pachyramphus viridis,Green-backed Becard,Anambé verdoso,,86,,
645,Passeriformes,Tityridae,Pachyramphus,castaneus,Pachyramphus castaneus,Chestnut-crowned Becard,Anambé castaño,,115,,
646,Passeriformes,Tityridae,Pachyramphus,polychopterus,Pachyramphus polychopterus,White-winged Becard,Anambé Aliblanco,,219,1,
647,Passeriformes,Tityridae,Pachyramphus,marginatus,Pachyramphus marginatus,Black-capped Becard,Anambé Capirotado,,90,,
648,Passeriformes,Tityridae,Pachyramphus,minor,Pachyramphus minor,Pink-throated Becard,Anambé Gorgirrosa,,45,,
649,Passeriformes,Tityridae,Pachyramphus,validus,Pachyramphus validus,Crested Becard,Anambé grande,,54,,
650,Passeriformes,Oxyruncidae,Oxyruncus,cristatus,Oxyruncus cristatus,Sharpbill,Picoagudo,,62,,
651,Passeriformes,Onychorhynchidae,Onychorhynchus,coronatus,Onychorhynchus coronatus,Amazonian Royal Flycatcher,Mosquero Real,,42,BIOPE,
652,Passeriformes,Onychorhynchidae,Terenotriccus,erythrurus,Terenotriccus erythrurus,Ruddy-tailed Flycatcher,Mosquerito Colirrojo,,74,BIOPE,1
653,Passeriformes,Onychorhynchidae,Myiobius,villosus,Myiobius villosus,Tawny-breasted Myiobius,Moscareta Vellosa,,10,1,
654,Passeriformes,Onychorhynchidae,Myiobius,barbatus,Myiobius barbatus,Whiskered Myiobius,Moscareta Barbada,,37,1,
655,Passeriformes,Onychorhynchidae,Myiobius,atricaudus,Myiobius atricaudus,Black-tailed Myiobius,Moscareta Colinegra,,23,,
656,Passeriformes,Tyrannidae,Piprites,chloris,Piprites chloris,Wing-barred Piprites,Piprites Verde,,193,1,
657,Passeriformes,Tyrannidae,Neopipo,cinnamomea,Neopipo cinnamomea,Cinnamon Neopipo,Mosquerito Canelo,,42,,
658,Passeriformes,Tyrannidae,Platyrinchus,mystaceus,Platyrinchus mystaceus,White-throated Spadebill,Picoplano Bigotudo,,213,1,
659,Passeriformes,Tyrannidae,Platyrinchus,coronatus,Platyrinchus coronatus,Golden-crowned Spadebill,Picoplano Coronado,,98,BIOPE,
660,Passeriformes,Tyrannidae,Platyrinchus,platyrhynchos,Platyrinchus platyrhynchos,White-crested Spadebill,Picoplano Crestiblanco,,97,1,
661,Passeriformes,Tyrannidae,Pseudotriccus,simplex,Pseudotriccus simplex,Hazel-fronted Pygmy Tyrant,Tiranuelo Simple,,13,1,
662,Passeriformes,Tyrannidae,Pseudotriccus,ruficeps,Pseudotriccus ruficeps,Rufous-headed Pygmy Tyrant,Tiranuelo Cabecirrojo,,67,,
663,Passeriformes,Tyrannidae,Corythopis,torquatus,Corythopis torquatus,Ringed Antpipit,Mosquero Terrestre Norteño,,98,1,
664,Passeriformes,Tyrannidae,Phylloscartes,poecilotis,Phylloscartes poecilotis,NA,Orejerito Variegado,,0,1,
665,Passeriformes,Tyrannidae,Phylloscartes,ophthalmicus,Phylloscartes ophthalmicus,NA,Orejerito Jaspeado,,0,,
666,Passeriformes,Tyrannidae,Phylloscartes,orbitalis,Phylloscartes orbitalis,NA,Orejerito de Anteojos,,0,1,
667,Passeriformes,Tyrannidae,Phylloscartes,ventralis,Phylloscartes ventralis,Mottle-cheeked Tyrannulet,Orejerito Oliváceo,,111,1,
668,Passeriformes,Tyrannidae,Phylloscartes,parkeri,Phylloscartes parkeri,Cinnamon-faced Tyrannulet,Orejerito de Parker,,11,,
669,Passeriformes,Tyrannidae,Mionectes,striaticollis,Mionectes striaticollis,Streak-necked Flycatcher,Mosquero Gorgiestriado,,35,1,
670,Passeriformes,Tyrannidae,Mionectes,olivaceus,Mionectes olivaceus,Olive-striped Flycatcher,Mosquero Oliváceo,,43,1,
671,Passeriformes,Tyrannidae,Mionectes,oleagineus,Mionectes oleagineus,Ochre-bellied Flycatcher,Mosquero Aceitunado,,162,BIOPE,
672,Passeriformes,Tyrannidae,Mionectes,macconnelli,Mionectes macconnelli,McConnell's Flycatcher,Mosquero de McConnell,,17,BIOPE,1
673,Passeriformes,Tyrannidae,Leptopogon,amaurocephalus,Leptopogon amaurocephalus,Sepia-capped Flycatcher,Orejero Coronipardo,,146,BIOPE,1
674,Passeriformes,Tyrannidae,Leptopogon,superciliaris,Leptopogon superciliaris,Slaty-capped Flycatcher,Orejero Coronigrís,,90,BIOPE,1
675,Passeriformes,Tyrannidae,Leptopogon,taczanowskii,Leptopogon taczanowskii,Inca Flycatcher,Orejero Inca ,Endemico,21,1,
676,Passeriformes,Tyrannidae,Cnipodectes,subbrunneus,Cnipodectes subbrunneus,Brownish Twistwing,Mosquero Pardo,,96,,
677,Passeriformes,Tyrannidae,Cnipodectes,superrufus,Cnipodectes superrufus,Rufous Twistwing,Mosquero Rufo,,25,,
678,Passeriformes,Tyrannidae,Rhynchocyclus,olivaceus,Rhynchocyclus olivaceus,Olivaceous Flatbill,Picoplano Oliváceo,,60,,
679,Passeriformes,Tyrannidae,Rhynchocyclus,fulvipectus,Rhynchocyclus fulvipectus,Fulvous-breasted Flatbill,Picoplano Pechirrufo,,10,,
680,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,Tolmomyias sulphurescens,Yellow-olive Flatbill,Picoplano Sulfuroso,,451,1,
681,Passeriformes,Tyrannidae,Tolmomyias,assimilis,Tolmomyias assimilis,Zimmer's Flatbill,Picoplano Aliamarillo,,100,BIOPE,
682,Passeriformes,Tyrannidae,Tolmomyias,poliocephalus,Tolmomyias poliocephalus,Grey-crowned Flatbill,Picoplano Cabecigrís,,156,,
683,Passeriformes,Tyrannidae,Tolmomyias,flaviventris,Tolmomyias flaviventris,Ochre-lored Flatbill,Picoplano Pechiamarillo,,175,,
684,Passeriformes,Tyrannidae,Myiornis,ecaudatus,Myiornis ecaudatus,Short-tailed Pygmy Tyrant,Mosqueta Colicorta,,93,,
685,Passeriformes,Tyrannidae,Lophotriccus,pileatus,Lophotriccus pileatus,Scale-crested Pygmy Tyrant,Cimerillo Andino,,246,1,
686,Passeriformes,Tyrannidae,Lophotriccus,eulophotes,Lophotriccus eulophotes,Long-crested Pygmy Tyrant,Cimerillo Crestilargo,,31,1,
687,Passeriformes,Tyrannidae,Hemitriccus,cohnhafti,Hemitriccus cohnhafti,Acre Tody-Tyrant,Titirijí de Acre,,12,,
688,Passeriformes,Tyrannidae,Hemitriccus,flammulatus,Hemitriccus flammulatus,Flammulated Bamboo Tyrant,Titirijí Flamulado,,56,1,
689,Passeriformes,Tyrannidae,Hemitriccus,griseipectus,Hemitriccus griseipectus,White-bellied Tody-Tyrant,Titirijí Ventriblanco,,107,BIOPE,
690,Passeriformes,Tyrannidae,Hemitriccus,iohannis,Hemitriccus iohannis,Johannes's Tody-Tyrant,Titirijí de Johannes,,58,1,
691,Passeriformes,Tyrannidae,Hemitriccus,striaticollis,Hemitriccus striaticollis,Stripe-necked Tody-Tyrant,Titirijí Gorgiestriado,,71,,
692,Passeriformes,Tyrannidae,Hemitriccus,rufigularis,Hemitriccus rufigularis,Buff-throated Tody-Tyrant,Titirijí Gorgirrufo,,31,1,
693,Passeriformes,Tyrannidae,Poecilotriccus,albifacies,Poecilotriccus albifacies,White-cheeked Tody-Flycatcher,Titirijí Cariblanco,,23,1,
694,Passeriformes,Tyrannidae,Poecilotriccus,plumbeiceps,Poecilotriccus plumbeiceps,Ochre-faced Tody-Flycatcher,Titirijí Cabecicanela,,114,,
695,Passeriformes,Tyrannidae,Poecilotriccus,latirostris,Poecilotriccus latirostris,Rusty-fronted Tody-Flycatcher,Titirijí Frentirrojo,,72,1,
696,Passeriformes,Tyrannidae,Poecilotriccus,pulchellus,Poecilotriccus pulchellus,Black-backed Tody-Flycatcher,Titirijí Dorsinegro,Endemico,10,,
697,Passeriformes,Tyrannidae,Todirostrum,maculatum,Todirostrum maculatum,Spotted Tody-Flycatcher,Titirijí Moteado,,52,,
698,Passeriformes,Tyrannidae,Todirostrum,cinereum,Todirostrum cinereum,Common Tody-Flycatcher,Titirijí Común,,218,,
699,Passeriformes,Tyrannidae,Todirostrum,chrysocrotaphum,Todirostrum chrysocrotaphum,Yellow-browed Tody-Flycatcher,Titirijí Cejiamarillo,,63,,
700,Passeriformes,Tyrannidae,Myiotriccus,ornatus,Myiotriccus ornatus,Ornate Flycatcher,Mosquerito Adornado,,122,1,
701,Passeriformes,Tyrannidae,Nephelomyias,pulcher,Nephelomyias pulcher,Handsome Flycatcher,Mosquero Hermoso,,36,,
702,Passeriformes,Tyrannidae,Hirundinea,ferruginea,Hirundinea ferruginea,Cliff Flycatcher,Birro Común,,96,,
703,Passeriformes,Tyrannidae,Pyrrhomyias,cinnamomeus,Pyrrhomyias cinnamomeus,Cinnamon Flycatcher,Birro Chico,,179,,
704,Passeriformes,Tyrannidae,Zimmerius,bolivianus,Zimmerius bolivianus,Bolivian Tyrannulet,Mosquerito Boliviano,,14,,
705,Passeriformes,Tyrannidae,Zimmerius,cinereicapilla,Zimmerius cinereicapilla,Red-billed Tyrannulet,Mosquerito Piquirrojo,,14,,
706,Passeriformes,Tyrannidae,Zimmerius,gracilipes,Zimmerius gracilipes,Slender-footed Tyrannulet,Mosquerito Patifino,,59,,
707,Passeriformes,Tyrannidae,Inezia,inornata,Inezia inornata,Plain Inezia,Piojito Picudo,,49,,
708,Passeriformes,Tyrannidae,Euscarthmus,meloryphus,Euscarthmus meloryphus,Tawny-crowned Pygmy Tyrant,Tiranuelo Copetón,,199,,
709,Passeriformes,Tyrannidae,Ornithion,inerme,Ornithion inerme,White-lored Tyrannulet,Mosquerito Moteado,,144,,
710,Passeriformes,Tyrannidae,Camptostoma,obsoletum,Camptostoma obsoletum,Southern Beardless Tyrannulet,Mosquerito Silbón,,346,,
711,Passeriformes,Tyrannidae,Elaenia,flavogaster,Elaenia flavogaster,Yellow-bellied Elaenia,Fiofío Ventriamarillo,,225,,
712,Passeriformes,Tyrannidae,Elaenia,spectabilis,Elaenia spectabilis,Large Elaenia,Fiofío Grande,,102,,
713,Passeriformes,Tyrannidae,Elaenia,albiceps,Elaenia albiceps,White-crested Elaenia,Fiofío Crestiblanco,,77,,
714,Passeriformes,Tyrannidae,Elaenia,parvirostris,Elaenia parvirostris,Small-billed Elaenia,Fiofío Piquicorto,,111,,
715,Passeriformes,Tyrannidae,Elaenia,strepera,Elaenia strepera,Slaty Elaenia,Fiofío Plomizo,,20,,
716,Passeriformes,Tyrannidae,Elaenia,gigas,Elaenia gigas,Mottle-backed Elaenia,Fiofío Gigante,,18,1,
717,Passeriformes,Tyrannidae,Elaenia,cristata,Elaenia cristata,Plain-crested Elaenia,Fiofío Crestado,,59,,
718,Passeriformes,Tyrannidae,Elaenia,chiriquensis,Elaenia chiriquensis,Lesser Elaenia,Fiofío Belicoso,,98,,
719,Passeriformes,Tyrannidae,Elaenia,pallatangae,Elaenia pallatangae,Sierran Elaenia,Fiofío de Pallatanga,,56,,
720,Passeriformes,Tyrannidae,Tyrannulus,elatus,Tyrannulus elatus,Yellow-crowned Tyrannulet,Mosquerito Coronado,,82,1,
721,Passeriformes,Tyrannidae,Myiopagis,gaimardii,Myiopagis gaimardii,Forest Elaenia,Fiofío Selvático,,119,1,
722,Passeriformes,Tyrannidae,Myiopagis,caniceps,Myiopagis caniceps,Grey Elaenia,Fiofío Gris,,163,BIOPE,
723,Passeriformes,Tyrannidae,Myiopagis,viridicata,Myiopagis viridicata,Greenish Elaenia,Fiofío Verdoso,,183,,
724,Passeriformes,Tyrannidae,Capsiempis,flaveola,Capsiempis flaveola,Yellow Tyrannulet,Mosquerito Amarillo,,197,1,
725,Passeriformes,Tyrannidae,Phyllomyias,burmeisteri,Phyllomyias burmeisteri,Rough-legged Tyrannulet,Mosquerito de Burmeister,,82,,
726,Passeriformes,Tyrannidae,Phyllomyias,griseiceps,Phyllomyias griseiceps,Sooty-headed Tyrannulet,Mosquerito Cabecigrís,,94,,
727,Passeriformes,Tyrannidae,Phyllomyias,uropygialis,Phyllomyias uropygialis,Tawny-rumped Tyrannulet,Mosquerito Culirrufo,,31,,
728,Passeriformes,Tyrannidae,Phyllomyias,plumbeiceps,Phyllomyias plumbeiceps,Plumbeous-crowned Tyrannulet,Mosquerito Coroniplomizo,,29,,
729,Passeriformes,Tyrannidae,Phaeomyias,murina,Phaeomyias murina,Mouse-colored Tyrannulet,Piojito Pardo,,188,,
730,Passeriformes,Tyrannidae,Mecocerculus,leucophrys,Mecocerculus leucophrys,White-throated Tyrannulet,Piojito Gargantilla,,159,,
731,Passeriformes,Tyrannidae,Anairetes,flavirostris,Anairetes flavirostris,Yellow-billed Tit-Tyrant,Cachudito Piquiamarillo,,36,,
732,Passeriformes,Tyrannidae,Anairetes,parulus,Anairetes parulus,Tufted Tit-Tyrant,Cachudito Piquinegro,,79,,
733,Passeriformes,Tyrannidae,Pseudocolopteryx,acutipennis,Pseudocolopteryx acutipennis,Subtropical Doradito,Doradito Oliváceo,,6,,
734,Passeriformes,Tyrannidae,Serpophaga,cinerea,Serpophaga cinerea,Torrent Tyrannulet,Piojito Guardarríos,,14,,
735,Passeriformes,Tyrannidae,Serpophaga,hypoleuca,Serpophaga hypoleuca,River Tyrannulet,Piojito Ribereño,,17,,
736,Passeriformes,Tyrannidae,Attila,cinnamomeus,Attila cinnamomeus,Cinnamon Attila,Atila Canelo,,133,,
737,Passeriformes,Tyrannidae,Attila,bolivianus,Attila bolivianus,White-eyed Attila,Atila Ojiblanco,,72,,
738,Passeriformes,Tyrannidae,Attila,spadiceus,Attila spadiceus,Bright-rumped Attila,Atila Polimorfo,,380,1,
739,Passeriformes,Tyrannidae,Legatus,leucophaius,Legatus leucophaius,Piratic Flycatcher,Mosquero Pirata,,262,,
740,Passeriformes,Tyrannidae,Ramphotrigon,megacephalum,Ramphotrigon megacephalum,Large-headed Flatbill,Picoplano Cabezón,,115,BIOPE,
741,Passeriformes,Tyrannidae,Ramphotrigon,ruficauda,Ramphotrigon ruficauda,Rufous-tailed Flatbill,Picoplano Colirrufo,,116,,
742,Passeriformes,Tyrannidae,Ramphotrigon,fuscicauda,Ramphotrigon fuscicauda,Dusky-tailed Flatbill,Picoplano Colioscuro,,59,1,
743,Passeriformes,Tyrannidae,Pitangus,sulphuratus,Pitangus sulphuratus,Great Kiskadee,Bienteveo Común,,488,1,
744,Passeriformes,Tyrannidae,Pitangus,lictor,Pitangus lictor,NA,Bienteveo Chico,,0,,
745,Passeriformes,Tyrannidae,Tyrannopsis,sulphurea,Tyrannopsis sulphurea,Sulphury Flycatcher,Tirano Palmero,,77,,
746,Passeriformes,Tyrannidae,Megarynchus,pitangua,Megarynchus pitangua,Boat-billed Flycatcher,Bienteveo Pitanguá,,378,,
747,Passeriformes,Tyrannidae,Myiodynastes,chrysocephalus,Myiodynastes chrysocephalus,Golden-crowned Flycatcher,Bienteveo Coronidorado,,163,,
748,Passeriformes,Tyrannidae,Myiodynastes,luteiventris,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,Bienteveo Ventriazufrado,,180,,
749,Passeriformes,Tyrannidae,Myiodynastes,maculatus,Myiodynastes maculatus,Streaked Flycatcher,Bienteveo Rayado,,272,1,
750,Passeriformes,Tyrannidae,Myiozetetes,cayanensis,Myiozetetes cayanensis,Rusty-margined Flycatcher,Bienteveo Alicastaño,,177,,
751,Passeriformes,Tyrannidae,Myiozetetes,similis,Myiozetetes similis,Social Flycatcher,Bienteveo Sociable,,335,1,
752,Passeriformes,Tyrannidae,Myiozetetes,granadensis,Myiozetetes granadensis,Grey-capped Flycatcher,Bienteveo Cabecigrís,,92,1,
753,Passeriformes,Tyrannidae,Myiozetetes,luteiventris,Myiozetetes luteiventris,Dusky-chested Flycatcher,Bienteveo Pechioscuro,,66,,
754,Passeriformes,Tyrannidae,Conopias,trivirgatus,Conopias trivirgatus,Three-striped Flycatcher,Bienteveo Trilistado,,59,,
755,Passeriformes,Tyrannidae,Conopias,cinchoneti,Conopias cinchoneti,Lemon-browed Flycatcher,Bienteveo Cejiamarillo,,41,,
756,Passeriformes,Tyrannidae,Empidonomus,varius,Empidonomus varius,Variegated Flycatcher,Tuquito Rayado,,77,,
757,Passeriformes,Tyrannidae,Empidonomus,aurantioatrocristatus,Empidonomus aurantioatrocristatus,NA,Tuquito Gris,,0,,
758,Passeriformes,Tyrannidae,Tyrannus,albogularis,Tyrannus albogularis,White-throated Kingbird,Tirano Gorgiblanco,,23,,
759,Passeriformes,Tyrannidae,Tyrannus,melancholicus,Tyrannus melancholicus,Tropical Kingbird,Tirano Melancólico,,381,1,
760,Passeriformes,Tyrannidae,Tyrannus,savana,Tyrannus savana,Fork-tailed Flycatcher,Tijereta Sabanera,,69,,
761,Passeriformes,Tyrannidae,Tyrannus,tyrannus,Tyrannus tyrannus,Eastern Kingbird,Tirano Oriental,,99,,
