Start (s),End (s),Scientific name,Common name,Confidence
192.0,195.0,Melanerpes carolinus,Red-bellied Woodpecker,0.3397
192.0,195.0,Setophaga americana,Northern Parula,0.3136
195.0,198.0,Setophaga cerulea,Cerulean Warbler,0.9979
198.0,201.0,Contopus virens,Eastern Wood-Pewee,0.5669
201.0,204.0,Setophaga citrina,Hooded Warbler,0.1822
201.0,204.0,Helmitheros vermivorum,Worm-eating Warbler,0.1363
201.0,204.0,Empidonax virescens,Acadian Flycatcher,0.1005
204.0,207.0,Setophaga cerulea,Cerulean Warbler,0.9471
204.0,207.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1121
207.0,210.0,Setophaga cerulea,Cerulean Warbler,1.0000
210.0,213.0,Setophaga caerulescens,Black-throated Blue Warbler,0.2353
213.0,216.0,Helmitheros vermivorum,Worm-eating Warbler,0.9519
213.0,216.0,Limnothlypis swainsonii,Swainson's Warbler,0.1025
216.0,219.0,Helmitheros vermivorum,Worm-eating Warbler,0.9306
216.0,219.0,Setophaga cerulea,Cerulean Warbler,0.1873
216.0,219.0,Setophaga citrina,Hooded Warbler,0.1319
219.0,222.0,Setophaga caerulescens,Black-throated Blue Warbler,0.5136
219.0,222.0,Setophaga americana,Northern Parula,0.2454
219.0,222.0,Setophaga cerulea,Cerulean Warbler,0.1799
219.0,222.0,Setophaga citrina,Hooded Warbler,0.1636
222.0,225.0,Setophaga cerulea,Cerulean Warbler,0.9988
225.0,228.0,Setophaga cerulea,Cerulean Warbler,0.8067
225.0,228.0,Helmitheros vermivorum,Worm-eating Warbler,0.6115
225.0,228.0,Setophaga americana,Northern Parula,0.1720
225.0,228.0,Setophaga striata,Blackpoll Warbler,0.1156
228.0,231.0,Melanerpes carolinus,Red-bellied Woodpecker,0.1096
231.0,234.0,Setophaga cerulea,Cerulean Warbler,0.9997
234.0,237.0,Setophaga cerulea,Cerulean Warbler,0.3334
237.0,240.0,Helmitheros vermivorum,Worm-eating Warbler,0.6372
237.0,240.0,Setophaga striata,Blackpoll Warbler,0.2928
240.0,243.0,Setophaga cerulea,Cerulean Warbler,0.3158
240.0,243.0,Setophaga pinus,Pine Warbler,0.1374
243.0,246.0,Setophaga cerulea,Cerulean Warbler,0.9994
246.0,249.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1247
246.0,249.0,Setophaga cerulea,Cerulean Warbler,0.1178
249.0,252.0,Setophaga cerulea,Cerulean Warbler,0.9985
255.0,258.0,Setophaga cerulea,Cerulean Warbler,0.9985
258.0,261.0,Setophaga cerulea,Cerulean Warbler,0.9902
261.0,264.0,Contopus virens,Eastern Wood-Pewee,0.8579
261.0,264.0,Pheucticus ludovicianus,Rose-breasted Grosbeak,0.1895
261.0,264.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1033
270.0,273.0,Setophaga americana,Northern Parula,0.1565
270.0,273.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1081
273.0,276.0,Setophaga cerulea,Cerulean Warbler,0.9995
276.0,279.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.5312
276.0,279.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1836
276.0,279.0,Contopus sordidulus,Western Wood-Pewee,0.1831
276.0,279.0,Contopus virens,Eastern Wood-Pewee,0.1573
276.0,279.0,Setophaga cerulea,Cerulean Warbler,0.1091
279.0,282.0,Contopus virens,Eastern Wood-Pewee,0.2037
282.0,285.0,Setophaga cerulea,Cerulean Warbler,0.7197
282.0,285.0,Setophaga graciae,Grace's Warbler,0.1096
285.0,288.0,Setophaga cerulea,Cerulean Warbler,0.9995
288.0,291.0,Contopus virens,Eastern Wood-Pewee,0.2505
291.0,294.0,Turdus pallidus,Pale Thrush,0.2080
291.0,294.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1677
294.0,297.0,Setophaga cerulea,Cerulean Warbler,0.3065
294.0,297.0,Setophaga caerulescens,Black-throated Blue Warbler,0.2463
297.0,300.0,Pheucticus ludovicianus,Rose-breasted Grosbeak,0.4228
297.0,300.0,Ixoreus naevius,Varied Thrush,0.2752
300.0,303.0,Setophaga cerulea,Cerulean Warbler,0.9995
303.0,306.0,Pheucticus ludovicianus,Rose-breasted Grosbeak,0.6382
303.0,306.0,Setophaga cerulea,Cerulean Warbler,0.1993
303.0,306.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1671
306.0,309.0,Setophaga americana,Northern Parula,0.5531
309.0,312.0,Helmitheros vermivorum,Worm-eating Warbler,0.6013
312.0,315.0,Helmitheros vermivorum,Worm-eating Warbler,0.9844
312.0,315.0,Setophaga striata,Blackpoll Warbler,0.1627
315.0,318.0,Contopus virens,Eastern Wood-Pewee,0.9370
318.0,321.0,Contopus virens,Eastern Wood-Pewee,0.4960
321.0,324.0,Helmitheros vermivorum,Worm-eating Warbler,0.8619
324.0,327.0,Helmitheros vermivorum,Worm-eating Warbler,0.7168
324.0,327.0,Limnothlypis swainsonii,Swainson's Warbler,0.1487
